corpus,commit,specification,assay_id,modality,status,generated_efgdl,compiles,compile_error,lane_count,capability_blockers,diagnostic_codes
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/bd_rhapsody_eb.spec.yaml","BD-Rhapsody-EB","rna",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/bd_rhapsody_v1.spec.yaml","BD-Rhapsody-v1","rna",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_onlist_window_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_onlist_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/cel_seq.spec.yaml","CEL-Seq","rna",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;partial_onlist_window_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region;variable_partial_onlist_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/cel_seq2.spec.yaml","CEL-Seq2","rna",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;partial_onlist_window_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region;variable_partial_onlist_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_dig.spec.yaml","DOGMAseq-DIG","atac",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_dig.spec.yaml","DOGMAseq-DIG","protein",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_dig.spec.yaml","DOGMAseq-DIG","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_dig.spec.yaml","DOGMAseq-DIG","tag",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_lll.spec.yaml","DOGMAseq-LLL","atac",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_lll.spec.yaml","DOGMAseq-LLL","protein",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/dogmaseq_lll.spec.yaml","DOGMAseq-LLL","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/drop_seq.spec.yaml","Drop-seq","rna",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/indropv2.spec.yaml","Indropv2","rna",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;partial_onlist_window_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region;variable_partial_onlist_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/issaac_seq.spec.yaml","","ATAC",BlockedSeqprocCapability,false,false,"",4,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/issaac_seq.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",4,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/mars_seq.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/mcscrb_seq.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
